Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Seputeh, Kuala Lumpur","RM 5,650,000",5+1,6,,Bungalow,Land area : 5442 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 765,000",3,2,2,Condominium,"Built-up : 1,400 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 920,000",3,3,2,Condominium,"Built-up : 1,554 sq. ft.",Unfurnished
"Seputeh, Kuala Lumpur","RM 5,300,000",5+1,6,,Bungalow (Corner),Land area : 7000 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 5,300,000",5+1,6,,Bungalow (Intermediate),Land area : 4500 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 1,250,000",4+1,4,3,3-sty Terrace/Link House (Intermediate),Land area : 1600 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 2,600,000",5+1,4,4,Bungalow (Intermediate),Land area : 6300 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,5,3,Condominium,"Built-up : 3,358 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 5,800,000",5,4,6,Bungalow,Land area : 7200 sq. ft.,
"Sri Hartamas, Kuala Lumpur","RM 1,480,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 1,650,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Batu Caves, Kuala Lumpur","RM 720,000",3,3,2,Serviced Residence,"Built-up : 1,227 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,980,000",4+1,5,1,Semi-detached House,Land area : 3800 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 1,180,000",4+1,3,6,2-sty Terrace/Link House (EndLot),Land area : 34x70 sq. ft.,Unfurnished
"City Centre, Kuala Lumpur","RM 560,000",Studio,1,,Serviced Residence,Built-up : 515 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,000,000",5,5,3,Serviced Residence,"Built-up : 4,214 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,100,000",2,2,,Serviced Residence,"Built-up : 1,145 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,000,000",2,2,,Serviced Residence,"Built-up : 1,145 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 800,000",3,3,1,Condominium,"Built-up : 1,237 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 1,250,000",2+1,4,2,Condominium,"Built-up : 1,600 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 1,000,000",3+1,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 760,000",2+1,2,1,Condominium,"Built-up : 1,200 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 890,000",2+1,2,3,Condominium,"Built-up : 1,400 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 1,050,000",3+1,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 800,000",3,3,2,Condominium,"Built-up : 1,186 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 820,000",3,3,1,Condominium,"Built-up : 1,186 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 770,000",2+1,2,2,Condominium,"Built-up : 1,110 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 820,000",3,3,1,Condominium,"Built-up : 1,237 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 810,000",2+1,2,2,Condominium,"Built-up : 1,300 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur","RM 1,100,000",,,,Serviced Residence,"Built-up : 1,238 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,060,000",1+1,2,3,Serviced Residence,"Built-up : 1,148 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 670,000",3,2,2,Serviced Residence,"Built-up : 1,094 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 996,300",,,,Serviced Residence,"Built-up : 1,432 sq. ft.",
"Damansara Heights, Kuala Lumpur","RM 540,000",,,,Serviced Residence,,
"Sri Hartamas, Kuala Lumpur","RM 299,000",,,,Serviced Residence,Built-up : 500 sq. ft.,
"Seputeh, Kuala Lumpur","RM 4,000,000",5+1,6,2,Semi-detached House (Intermediate),Land area : 3200 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 5,200,000",5+1,5,,Bungalow (Intermediate),Land area : 6700 sq. ft.,Fully Furnished
"Federal Hill, Kuala Lumpur","RM 5,950,000",6+1,6,,Bungalow (Intermediate),Land area : 9548 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 570,000",3+1,2,2,Serviced Residence (Corner),"Built-up : 1,162 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",1+1,1,1,Serviced Residence (Intermediate),Built-up : 915 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,473,950",3,3,1,Condominium (Intermediate),Land area : 1551 sq. ft.,
"Desa ParkCity, Kuala Lumpur","RM 1,900,000",3+1,3,2,2-sty Terrace/Link House (Corner),"Built-up : 1,900 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,180,000",3+1,3,2,Condominium (Corner),"Built-up : 1,432 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,448,000",2+1,2,2,Condominium,"Built-up : 1,292 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,080,000",2,1,2,Condominium,"Built-up : 1,034 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 795,000",1+1,1,1,Condominium (Intermediate),Built-up : 969 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",3+1,3,2,Condominium (Corner),"Built-up : 1,701 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,550,000",3,3,2,3-sty Terrace/Link House (Corner),"Built-up : 1,900 sq. ft.",Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,600,000",3,3,2,3-sty Terrace/Link House (Duplex),"Built-up : 1,900 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,630,000",3,3,2,3-sty Terrace/Link House (Intermediate),"Built-up : 1,900 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 750,000",1,1,1,Condominium,Built-up : 538 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 577,000",3,2,2,Condominium,"Built-up : 1,127 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,480,000",2+1,3,2,Serviced Residence (Corner),"Built-up : 1,691 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,480,000",2+1,3,2,Serviced Residence,"Built-up : 1,691 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 1,150,000",4,3,,2-sty Terrace/Link House,,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 930,000",1+1,2,2,Condominium,Built-up : 969 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,150,000",2,1,1,Condominium,"Built-up : 1,034 sq. ft.",
"Desa ParkCity, Kuala Lumpur","RM 1,180,000",3,2,2,Condominium,"Built-up : 1,400 sq. ft.",
"Cheras, Kuala Lumpur","RM 330,000",3,2,1,Condominium (Intermediate),"Built-up : 1,111 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 530,000",3,3,2,Condominium (Intermediate),"Built-up : 1,003 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 690,000",3+1,2,2,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 655,000",3+1,2,2,Serviced Residence,"Built-up : 1,094 sq. ft.",Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 1,100,000",3+1,4,2,Condominium (Corner),"Built-up : 1,759 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 730,000",3+1,2,2,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,150,000",4+1,5,3,Condominium,"Built-up : 3,514 sq. ft.",
"Cheras, Kuala Lumpur","RM 345,000",3,2,2,Condominium (Corner),Built-up : 970 sq. ft.,Partly Furnished
"City Centre, Kuala Lumpur","RM 860,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Unfurnished
"Bandar Menjalara, Kuala Lumpur","RM 950,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 2,950,000",4+1,5,,Condominium,"Built-up : 3,466 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,650,000",4+1,6,,Condominium,"Built-up : 3,983 sq. ft.",
"Sri Hartamas, Kuala Lumpur","RM 2,900,000",4+1,5,,Condominium,"Built-up : 3,460 sq. ft.",
"Sri Hartamas, Kuala Lumpur","RM 2,800,000",4+1,5,,Condominium,"Built-up : 3,482 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,600,000",4+1,5,3,Condominium,"Built-up : 3,600 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,000,000",5,5,3,Condominium,"Built-up : 3,660 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 480,000",3,2,2,Condominium (Corner),,Unfurnished
"Cheras, Kuala Lumpur","RM 445,000",3,2,2,Condominium (Corner),,Unfurnished
"Cheras, Kuala Lumpur","RM 465,000",3+1,2,1,Condominium (Intermediate),"Built-up : 1,142 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 808,000",3,2,2,Serviced Residence,"Built-up : 1,170 sq. ft.",Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 1,080,000",4+1,3,,2-sty Terrace/Link House,Land area : 22x80 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 799,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 828,000",5,4,,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 750,000",3,2,,1-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,650,000",3,4,,2-sty Terrace/Link House,"Built-up : 1,700 sq. ft.",
"Country Heights Damansara, Kuala Lumpur","RM 5,878,950",,,,Residential Land,Land area : 10689 sq. ft.,
"Sentul, Kuala Lumpur","RM 800,000",3,3,1,Condominium,"Built-up : 1,186 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 980,000",3+1,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,350,000",3+1,4,,1.5-sty Terrace/Link House (Intermediate),"Built-up : 2,583 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 370,000",1,2,1,Serviced Residence (SOHO),Built-up : 775 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 410,000",4,2,1,Condominium,"Built-up : 1,272 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 410,000",4,2,2,Condominium (Intermediate),"Built-up : 1,272 sq. ft.",
"City Centre, Kuala Lumpur","RM 3,600,000",3+1,4,,Condominium,"Built-up : 3,664 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 3,500,000",3+1,4,,Condominium,"Built-up : 3,250 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,180,000",5+1,4,2,3-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 400,000",4,2,2,Condominium,"Built-up : 1,272 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 430,000",4,2,,Condominium,"Built-up : 1,166 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 500,000",3,2,,Condominium,Built-up : 903 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 400,000",4,2,1,Condominium,"Built-up : 1,272 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 500,000",4,2,,Condominium,"Built-up : 1,450 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 555,000",4,2,,Condominium,"Built-up : 1,313 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 416,000",3,2,,Condominium,"Built-up : 1,021 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur","RM 410,000",4,2,,Condominium,"Built-up : 1,207 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,150,000",2+1,2,1,Condominium (Intermediate),"Built-up : 1,119 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur","RM 570,000",3,2,,Condominium,"Built-up : 1,019 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur","RM 690,000",4,3,2,Condominium,"Built-up : 1,250 sq. ft.",Unfurnished
"Sungai Besi, Kuala Lumpur","RM 600,000",2+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,025 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 530,000",3,3,2,Condominium (Corner),"Built-up : 1,003 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,890,000",3+1,4,,Condominium,"Built-up : 2,648 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 840,000",2,2,1,Condominium,Built-up : 867 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4,,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Desa Pandan, Kuala Lumpur","RM 750,000",2,2,2,Serviced Residence,"Built-up : 1,076 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 870,000",3,2,,Condominium,"Built-up : 1,208 sq. ft.",
"KLCC, Kuala Lumpur","RM 8,000,000",6+1,7,,Serviced Residence,"Built-up : 9,332 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,800,000",3+1,4,,Serviced Residence,"Built-up : 3,300 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,790,000",4+1,5,,Condominium,"Built-up : 3,100 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,380,000",3+1,5,,Condominium,"Built-up : 1,605 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,390,000",3+1,3,,Condominium,"Built-up : 2,002 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,850,000",4+1,5,3,Condominium,"Built-up : 3,660 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,100,000",4+1,5,,Condominium,"Built-up : 3,133 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",4+1,4,,Condominium,"Built-up : 2,735 sq. ft.",Fully Furnished
"Sunway SPK, Kuala Lumpur","RM 1,250,000",3+1,4,2,Townhouse (Intermediate),Land area : 26x87 sq. ft.,Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,350,000",3+1,4,2,Townhouse (Intermediate),Land area : 26x87 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 995,000",2,2,1,Serviced Residence,Built-up : 936 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 400,000",2,2,1,Condominium,Built-up : 854 sq. ft.,Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 1,180,000",3+1,4,2,Condominium (Corner),"Built-up : 1,967 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur","RM 1,200,000",3,4,2,Condominium (Corner),"Built-up : 1,569 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur","RM 785,000",3,3,2,Condominium,"Built-up : 1,368 sq. ft.",Unfurnished
"Taman Melawati, Kuala Lumpur","RM 3,300,000",7,7,,Bungalow (Corner),Land area : 5583 sq. ft.,Unfurnished
"Sentul, Kuala Lumpur","RM 1,180,000",4,4,2,Condominium (Corner),"Built-up : 1,569 sq. ft.",Unfurnished
"Bangsar, Kuala Lumpur","RM 800,000",3+1,3,2,Condominium (Corner),"Built-up : 1,270 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,284,000",4+1,6,,Condominium,"Built-up : 2,702 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 6,385,950",5+1,6,3,Condominium (Penthouse),"Built-up : 5,553 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 450,000",3,2,1,Condominium,"Built-up : 1,267 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 1760 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,100,000",2,2,1,Serviced Residence,Built-up : 932 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 660,000",1,1,1,Serviced Residence (Intermediate),Built-up : 633 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 410,000",3,2,2,Serviced Residence,Built-up : 819 sq. ft.,
"Setapak, Kuala Lumpur","RM 498,000",3,2,2,Serviced Residence,"Built-up : 1,628 sq. ft.",
"Ampang, Kuala Lumpur","RM 1,600,000",3+1,,2,Condominium,"Built-up : 1,876 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 2,600,000",5+1,6,4,Semi-detached House (Intermediate),Land area : 3800 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 397,000",3,2,1,Condominium (Intermediate),"Built-up : 1,135 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur","RM 665,000",3+1,3,2,Condominium (Corner),"Built-up : 1,530 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 490,000",4,2,2,Condominium (Intermediate),"Built-up : 1,313 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 630,000",2,2,2,Condominium (Corner),"Built-up : 1,098 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,358,120",1,2,1,Serviced Residence (Intermediate),Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",4+1,5,,Condominium,"Built-up : 3,800 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,100,000",4+1,5,,Condominium (Corner),"Built-up : 3,800 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,400,000",2+1,3,2,Condominium (Corner),"Built-up : 1,468 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,900,000",3+1,3,2,Condominium,"Built-up : 1,820 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,800,000",3+1,4,2,Condominium (Corner),"Built-up : 1,820 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,000,000",3+1,4,2,Condominium,"Built-up : 2,250 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,357,250",3+1,4,2,Condominium (Corner),"Built-up : 2,245 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,5,2,Condominium,"Built-up : 3,800 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,570,400",3+1,4,2,Condominium (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,051,300",3+1,4,2,Condominium (Corner),"Built-up : 2,906 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,842,350",3+1,4,2,Condominium (Corner),"Built-up : 2,707 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,715,300",3+1,4,2,Condominium (Corner),"Built-up : 2,586 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 10,051,000",4+1,5,,Condominium (Penthouse),"Built-up : 7,825 sq. ft.",Unfurnished
"Ampang Hilir, Kuala Lumpur","RM 6,350,000",4+1,5,,Condominium (Corner),"Built-up : 4,327 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,350,000",3,2,2,Condominium,"Built-up : 1,409 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,500,000",3+1,4,2,Condominium,"Built-up : 1,842 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,500,000",1+1,1,,Serviced Residence (SOHO),Built-up : 635 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2,,Serviced Residence (SOHO),"Built-up : 1,350 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 5,854,000",4+1,5,,Serviced Residence,"Built-up : 2,615 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,800,000",3+1,4,2,Serviced Residence,"Built-up : 1,701 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 1,800,000",3+1,4,2,Serviced Residence,"Built-up : 1,701 sq. ft.",Unfurnished
"Bukit Bintang, Kuala Lumpur","RM 1,700,000",2+1,3,2,Condominium,"Built-up : 1,427 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,000,000",3+1,3,,Serviced Residence,"Built-up : 1,819 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,390,000",1,1,2,Serviced Residence,Built-up : 925 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,570,000",1,1,1,Serviced Residence,Built-up : 923 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,500,000",4+1,4,,Serviced Residence,"Built-up : 2,343 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,300,000",3+1,4,,Condominium,"Built-up : 2,111 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,500,000",3+1,4,,Condominium,"Built-up : 2,111 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",2+1,2,2,Serviced Residence (SOHO),"Built-up : 1,350 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 800,000",1,1,1,Condominium,Built-up : 538 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 990,000",1,1,1,Condominium,Built-up : 624 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,250,000",2,2,2,Condominium,Built-up : 807 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,900,000",3+1,4,2,Condominium,"Built-up : 2,250 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,100,000",3+1,4,,Condominium (Corner),"Built-up : 2,250 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 425,000",3,2,1,Condominium,"Built-up : 1,231 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 2,290,000",4+1,5,,Condominium,"Built-up : 2,767 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,280,000",3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 665,000",3+1,3,2,Condominium,"Built-up : 1,530 sq. ft.",
"Setapak, Kuala Lumpur","RM 565,000",3+1,3,2,Condominium,"Built-up : 1,362 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,650,000",4+1,6,,Condominium,"Built-up : 3,541 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,300,000",4+2,8,,Condominium,"Built-up : 4,660 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,500,000",4+1,6,,Condominium,"Built-up : 3,541 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,080,000",4+1,6,,Condominium,"Built-up : 3,410 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,950,000",4+1,6,,Condominium,"Built-up : 3,541 sq. ft.",Unknown
"Setapak, Kuala Lumpur","RM 500,000",4,2,1,Condominium,"Built-up : 1,450 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 4,300,000",4+1,5,,Condominium,"Built-up : 5,800 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,6,,Condominium,"Built-up : 3,410 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,380,000",3+1,5,,Condominium,"Built-up : 1,593 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,400,000",3+1,3,,Condominium,"Built-up : 1,593 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4,5,3,Condominium,"Built-up : 2,495 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,800,000",4+2,6,,Condominium,"Built-up : 4,000 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",3+1,5,,Condominium,"Built-up : 2,726 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,550,000",3+1,5,,Condominium,"Built-up : 2,257 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,5,,Condominium,"Built-up : 2,257 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,5,,Condominium,"Built-up : 2,159 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,790,000",3+1,4,,Condominium,"Built-up : 2,560 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,6,,Condominium,"Built-up : 3,729 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 400,000",4,2,1,Condominium (Corner),"Built-up : 1,135 sq. ft.",
"Sri Petaling, Kuala Lumpur","RM 750,000",3,2,,2-sty Terrace/Link House (Intermediate),Land area : 1400 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 550,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22 x 80 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 450,000",4,2,2,Condominium (Corner),"Built-up : 1,272 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,220,000",3+1,4,,Condominium,"Built-up : 1,756 sq. ft.",Fully Furnished
"Other, Kuala Lumpur","RM 2,300,000",,,,Residential Land,Land area : 10000 sq. ft.,
"KLCC, Kuala Lumpur","RM 4,250,000",3+1,5,,Serviced Residence (Corner),"Built-up : 3,200 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 670,000",3,2,,1-sty Terrace/Link House (Intermediate),Land area : 22x65 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,600,000",5+1,6,,Bungalow,Land area : 1920 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,850,000",3+1,4,2,3-sty Terrace/Link House,"Built-up : 3,211 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,380,000",6,5,,Semi-detached House (Corner),Land area : 4860 sq. ft.,Partly Furnished
